"","interv_cvg_rate","interv_target","contact_rate_mean","interv_start","interv_efficacy","imm_hum_baseline","mn","md","qlo","qhi","n","Vaccination scenario","Vaccination lag","Vaccine efficacy","Final Cum. Incidence","outcome"
"230",1200,"priority_age_frailty",1.8,-14,0.6,1e-05,0.0103115350573404,0.112847222222222,-0.808125,0.446035940803383,188,"Random",-2,0.6,0.7,"Hospitalized"
"231",1200,"priority_age_frailty",1.8,-14,0.9,1e-05,0.275683401191403,0.345836051315503,-0.240277777777778,0.658333333333333,188,"Random",-2,0.9,0.7,"Hospitalized"
"232",1200,"priority_age_frailty",1.8,0,0.3,1e-05,-0.0892866937729771,-0.00934782608695652,-0.625833333333333,0.394615384615385,188,"Random",0,0.3,0.7,"Hospitalized"
"233",1200,"priority_age_frailty",1.8,0,0.6,1e-05,-0.0396010913527052,0.00976190476190476,-0.865196078431373,0.407647058823529,188,"Random",0,0.6,0.7,"Hospitalized"
"234",1200,"priority_age_frailty",1.8,0,0.9,1e-05,0.143440532570402,0.2,-0.463382352941176,0.562337662337662,188,"Random",0,0.9,0.7,"Hospitalized"
"235",1200,"priority_age_frailty",1.8,14,0.3,1e-05,-0.0409821075800988,0.0142194433239209,-0.59,0.367279411764706,188,"Random",2,0.3,0.7,"Hospitalized"
"236",1200,"priority_age_frailty",1.8,14,0.6,1e-05,-0.0502548510018941,0,-0.565,0.359939759036145,188,"Random",2,0.6,0.7,"Hospitalized"
"237",1200,"priority_age_frailty",1.8,14,0.9,1e-05,-0.00568514386728027,0.0429572271386431,-0.6,0.376368689207967,188,"Random",2,0.9,0.7,"Hospitalized"
"238",1200,"priority_age_frailty",1.8,28,0.3,1e-05,0.00354158674838328,0,-0.0122508366070129,0.0158906882591093,188,"Random",4,0.3,0.7,"Hospitalized"
"239",1200,"priority_age_frailty",1.8,28,0.6,1e-05,5.9775702896655e-05,0,0,0.011360153256705,188,"Random",4,0.6,0.7,"Hospitalized"
"240",1200,"priority_age_frailty",1.8,28,0.9,1e-05,-0.0006428755306687,0,-0.0130507662835249,0.00876945376869088,188,"Random",4,0.9,0.7,"Hospitalized"
