age,frailty
77.2506009615385,0.70668359375
77.3506009615385,0.70811359375
77.4506009615385,0.70954359375
77.5506009615385,0.71097359375
77.6506009615385,0.71240359375
77.7506009615385,0.71383359375
77.8506009615385,0.71526359375
77.9506009615385,0.71669359375
78.0506009615385,0.71812359375
78.1506009615385,0.71955359375
78.2506009615385,0.72098359375
78.3506009615385,0.72241359375
78.4506009615385,0.72384359375
78.5506009615385,0.72527359375
78.6506009615385,0.72670359375
78.7506009615385,0.72813359375
78.8506009615385,0.72956359375
78.9506009615385,0.73099359375
79.0506009615385,0.73242359375
79.1506009615385,0.73385359375
79.2506009615385,0.73528359375
79.3506009615385,0.73671359375
79.4506009615385,0.73814359375
79.5506009615385,0.73957359375
79.6506009615385,0.74100359375
79.7506009615385,0.74243359375
79.8506009615385,0.74386359375
79.9506009615385,0.74529359375
80.0506009615385,0.74672359375
80.1506009615385,0.74815359375
80.2506009615385,0.74958359375
80.3506009615385,0.75101359375
80.4506009615385,0.75244359375
80.5506009615385,0.75387359375
80.6506009615385,0.75530359375
80.7506009615385,0.75673359375
80.8506009615385,0.75816359375
80.9506009615385,0.75959359375
81.0506009615385,0.76102359375
81.1506009615385,0.76245359375
81.2506009615385,0.76388359375
81.3506009615385,0.76531359375
81.4506009615385,0.76674359375
81.5506009615385,0.76817359375
81.6506009615385,0.76960359375
81.7506009615385,0.77103359375
81.8506009615385,0.77246359375
81.9506009615385,0.77389359375
82.0506009615385,0.77532359375
82.1506009615385,0.77675359375
82.2506009615385,0.77818359375
82.3506009615385,0.77961359375
82.4506009615385,0.78104359375
82.5506009615385,0.78247359375
82.6506009615385,0.78390359375
82.7506009615385,0.78533359375
82.8506009615385,0.78676359375
82.9506009615385,0.78819359375
83.0506009615385,0.78962359375
83.1506009615385,0.79105359375
83.2506009615385,0.79248359375
83.3506009615385,0.79391359375
83.4506009615385,0.79534359375
83.5506009615385,0.79677359375
83.6506009615385,0.79820359375
83.7506009615385,0.79963359375
83.8506009615385,0.80106359375
83.9506009615385,0.80249359375
84.0506009615385,0.80392359375
84.1506009615385,0.80535359375
84.2506009615385,0.80678359375
84.3506009615385,0.80821359375
84.4506009615385,0.80964359375
84.5506009615385,0.81107359375
84.6506009615385,0.81250359375
84.7506009615385,0.81393359375
84.8506009615385,0.81536359375
84.9506009615385,0.81679359375
85.0506009615385,0.81822359375
